,user,dt
0,0,12.11.2023
1,0,13.11.2023
2,0,14.11.2023
3,0,16.11.2023
4,0,17.11.2023
5,0,18.11.2023
6,0,19.11.2023
7,0,21.11.2023
8,0,22.11.2023
9,0,23.11.2023
10,0,26.11.2023
11,0,27.11.2023
12,0,30.11.2023
13,0,03.12.2023
14,0,17.12.2023
15,0,18.12.2023
16,0,21.12.2023
17,0,23.12.2023
18,0,25.12.2023
19,0,27.12.2023
20,0,28.12.2023
21,0,30.12.2023
22,0,01.01.2024
23,0,07.01.2024
24,0,10.01.2024
25,0,12.01.2024
26,0,17.01.2024
27,0,18.01.2024
28,0,21.01.2024
29,0,25.01.2024
30,0,26.01.2024
31,0,30.01.2024
32,0,08.02.2024
33,0,11.02.2024
34,0,22.02.2024
35,0,28.02.2024
36,0,16.03.2024
37,0,25.03.2024
38,0,26.06.2024
39,1,27.02.2024
40,1,28.02.2024
41,1,01.03.2024
42,1,02.03.2024
43,1,04.03.2024
44,1,05.03.2024
45,1,06.03.2024
46,1,07.03.2024
47,1,08.03.2024
48,1,09.03.2024
49,1,10.03.2024
50,1,11.03.2024
51,1,13.03.2024
52,1,19.03.2024
53,1,23.03.2024
54,1,24.03.2024
55,1,01.04.2024
56,1,03.04.2024
57,1,05.04.2024
58,1,06.04.2024
59,1,08.04.2024
60,1,09.04.2024
61,1,14.04.2024
62,1,19.04.2024
63,1,23.04.2024
64,1,05.05.2024
65,1,07.05.2024
66,1,10.05.2024
67,1,13.05.2024
68,1,17.05.2024
69,1,20.05.2024
70,1,21.05.2024
71,1,01.06.2024
72,1,10.06.2024
73,1,26.06.2024
74,1,03.07.2024
75,1,23.07.2024
76,1,31.07.2024
77,1,01.08.2024
78,1,10.08.2024
79,1,13.08.2024
80,1,06.12.2024
81,2,23.07.2023
82,2,24.07.2023
83,2,25.07.2023
84,2,26.07.2023
85,2,28.07.2023
86,2,29.07.2023
87,2,04.08.2023
88,2,05.08.2023
89,2,11.08.2023
90,2,12.08.2023
91,2,17.08.2023
92,2,18.08.2023
93,2,20.08.2023
94,2,24.08.2023
95,2,01.09.2023
96,2,11.09.2023
97,2,12.09.2023
98,2,19.09.2023
99,2,27.09.2023
100,2,26.10.2023
101,2,27.10.2023
102,2,18.11.2023
103,2,15.12.2023
104,2,12.01.2024
105,2,18.01.2024
106,2,26.03.2024
107,2,27.04.2024
108,3,29.12.2023
109,3,01.01.2024
110,3,03.01.2024
111,3,09.01.2024
112,3,12.01.2024
113,3,13.01.2024
114,3,16.01.2024
115,3,18.01.2024
116,3,19.01.2024
117,3,22.01.2024
118,3,31.01.2024
119,3,05.02.2024
120,3,15.02.2024
121,3,21.02.2024
122,3,24.02.2024
123,3,24.03.2024
124,3,26.04.2024
125,3,02.05.2024
126,3,18.05.2024
127,3,06.07.2024
128,4,02.11.2023
129,4,03.11.2023
130,4,04.11.2023
131,4,05.11.2023
132,4,06.11.2023
133,4,10.11.2023
134,4,11.11.2023
135,4,13.11.2023
136,4,14.11.2023
137,4,15.11.2023
138,4,18.11.2023
139,4,23.11.2023
140,4,24.11.2023
141,4,27.11.2023
142,4,04.12.2023
143,4,06.12.2023
144,4,16.12.2023
145,4,18.12.2023
146,4,23.12.2023
147,4,25.12.2023
148,4,27.12.2023
149,4,31.12.2023
150,4,01.01.2024
151,4,02.01.2024
152,4,03.01.2024
153,4,12.01.2024
154,4,31.01.2024
155,4,02.02.2024
156,4,07.02.2024
157,4,17.02.2024
158,4,18.02.2024
159,4,08.03.2024
160,4,13.03.2024
161,4,20.03.2024
162,4,09.05.2024
163,4,19.05.2024
164,4,22.05.2024
165,4,26.06.2024
166,4,04.07.2024
167,4,06.07.2024
168,4,19.08.2024
169,5,01.10.2023
170,5,02.10.2023
171,5,03.10.2023
172,5,04.10.2023
173,5,05.10.2023
174,5,07.10.2023
175,5,10.10.2023
176,5,12.10.2023
177,5,14.10.2023
178,5,16.10.2023
179,5,19.10.2023
180,5,22.10.2023
181,5,25.10.2023
182,5,13.11.2023
183,5,22.11.2023
184,5,25.11.2023
185,5,28.11.2023
186,5,30.11.2023
187,5,08.12.2023
188,5,09.12.2023
189,5,14.12.2023
190,5,29.12.2023
191,5,10.01.2024
192,5,11.01.2024
193,5,26.01.2024
194,5,07.02.2024
195,5,30.03.2024
196,5,06.05.2024
197,6,23.03.2024
198,6,04.04.2024
199,6,11.04.2024
200,6,24.09.2024
201,6,25.01.2025
202,7,06.12.2023
203,7,07.12.2023
204,7,09.12.2023
205,7,10.12.2023
206,7,12.12.2023
207,7,13.12.2023
208,7,14.12.2023
209,7,15.12.2023
210,7,16.12.2023
211,7,21.12.2023
212,7,06.01.2024
213,7,07.01.2024
214,7,26.01.2024
215,7,06.02.2024
216,7,09.02.2024
217,7,02.03.2024
218,7,05.03.2024
219,7,21.03.2024
220,7,08.04.2024
221,7,16.04.2024
222,7,17.04.2024
223,7,21.04.2024
224,7,26.04.2024
225,7,18.05.2024
226,7,07.08.2024
227,7,29.10.2024
228,7,28.11.2024
229,8,20.05.2024
230,8,24.05.2024
231,8,29.05.2024
232,8,02.06.2024
233,8,05.06.2024
234,8,07.06.2024
235,8,08.06.2024
236,8,18.06.2024
237,8,19.06.2024
238,8,01.07.2024
239,8,04.07.2024
240,8,06.07.2024
241,8,10.07.2024
242,8,14.07.2024
243,8,18.07.2024
244,8,20.07.2024
245,8,24.07.2024
246,8,30.07.2024
247,8,06.08.2024
248,8,08.08.2024
249,8,27.09.2024
250,8,31.10.2024
251,8,15.11.2024
252,8,08.12.2024
253,9,30.03.2023
254,9,01.04.2023
255,9,02.04.2023
256,9,03.04.2023
257,9,04.04.2023
258,9,05.04.2023
259,9,06.04.2023
260,9,07.04.2023
261,9,08.04.2023
262,9,11.04.2023
263,9,13.04.2023
264,9,17.04.2023
265,9,18.04.2023
266,9,20.04.2023
267,9,26.04.2023
268,9,28.04.2023
269,9,18.05.2023
270,9,23.05.2023
271,9,24.05.2023
272,9,28.05.2023
273,9,01.06.2023
274,9,05.06.2023
275,9,06.06.2023
276,9,14.06.2023
277,9,15.06.2023
278,9,01.07.2023
279,9,10.07.2023
280,9,15.07.2023
281,9,17.07.2023
282,9,22.07.2023
283,9,03.08.2023
284,9,09.08.2023
285,9,24.08.2023
286,9,02.09.2023
287,9,08.10.2023
288,9,25.10.2023
289,9,24.12.2023
290,9,04.02.2024
291,10,30.06.2024
292,10,03.07.2024
293,10,04.07.2024
294,10,07.07.2024
295,10,24.07.2024
296,10,25.07.2024
297,10,22.08.2024
298,10,25.08.2024
299,10,28.08.2024
300,10,21.09.2024
301,10,24.01.2025
302,11,05.12.2023
303,11,10.12.2023
304,11,13.12.2023
305,11,18.12.2023
306,11,19.12.2023
307,11,06.02.2024
308,11,16.02.2024
309,11,15.03.2024
310,11,21.05.2024
311,11,20.10.2024
312,12,09.07.2023
313,12,11.07.2023
314,12,12.07.2023
315,12,13.07.2023
316,12,15.07.2023
317,12,16.07.2023
318,12,17.07.2023
319,12,18.07.2023
320,12,20.07.2023
321,12,25.07.2023
322,12,26.07.2023
323,12,03.08.2023
324,12,05.08.2023
325,12,08.08.2023
326,12,11.08.2023
327,12,14.08.2023
328,12,24.08.2023
329,12,28.08.2023
330,12,03.09.2023
331,12,10.09.2023
332,12,12.09.2023
333,12,17.09.2023
334,12,19.09.2023
335,12,22.09.2023
336,12,23.09.2023
337,12,24.09.2023
338,12,26.09.2023
339,12,01.10.2023
340,12,03.10.2023
341,12,12.10.2023
342,12,15.11.2023
343,12,04.12.2023
344,12,11.12.2023
345,12,18.12.2023
346,12,27.12.2023
347,12,26.03.2024
348,13,07.06.2023
349,13,10.06.2023
350,13,11.06.2023
351,13,12.06.2023
352,13,14.06.2023
353,13,18.06.2023
354,13,20.06.2023
355,13,22.06.2023
356,13,23.06.2023
357,13,03.07.2023
358,13,06.07.2023
359,13,08.07.2023
360,13,10.07.2023
361,13,22.07.2023
362,13,24.07.2023
363,13,25.07.2023
364,13,28.07.2023
365,13,01.08.2023
366,13,05.08.2023
367,13,07.08.2023
368,13,11.08.2023
369,13,27.08.2023
370,13,04.09.2023
371,13,08.09.2023
372,13,02.10.2023
373,13,13.10.2023
374,13,05.11.2023
375,13,10.01.2024
376,14,19.02.2023
377,14,20.02.2023
378,14,21.02.2023
379,14,23.02.2023
380,14,03.03.2023
381,14,04.03.2023
382,14,06.03.2023
383,14,10.03.2023
384,14,13.03.2023
385,14,25.03.2023
386,14,27.03.2023
387,14,28.03.2023
388,14,29.03.2023
389,14,03.04.2023
390,14,06.04.2023
391,14,13.04.2023
392,14,18.04.2023
393,14,05.05.2023
394,14,01.06.2023
395,14,24.06.2023
396,14,06.08.2023
397,14,31.10.2023
398,15,06.05.2024
399,15,10.05.2024
400,15,11.05.2024
401,15,12.05.2024
402,15,16.05.2024
403,15,18.05.2024
404,15,19.05.2024
405,15,24.05.2024
406,15,26.05.2024
407,15,31.05.2024
408,15,06.06.2024
409,15,10.06.2024
410,15,20.12.2024
411,16,14.03.2024
412,16,15.03.2024
413,16,18.03.2024
414,16,20.03.2024
415,16,21.03.2024
416,16,22.03.2024
417,16,24.03.2024
418,16,25.03.2024
419,16,27.03.2024
420,16,30.03.2024
421,16,02.04.2024
422,16,04.04.2024
423,16,05.04.2024
424,16,06.04.2024
425,16,07.04.2024
426,16,09.04.2024
427,16,10.04.2024
428,16,22.04.2024
429,16,27.04.2024
430,16,01.05.2024
431,16,02.05.2024
432,16,06.05.2024
433,16,08.05.2024
434,16,09.05.2024
435,16,13.05.2024
436,16,14.05.2024
437,16,15.05.2024
438,16,17.05.2024
439,16,25.05.2024
440,16,28.05.2024
441,16,05.06.2024
442,16,08.06.2024
443,16,09.06.2024
444,16,23.06.2024
445,16,24.06.2024
446,16,29.06.2024
447,16,18.07.2024
448,16,24.07.2024
449,16,02.08.2024
450,16,07.08.2024
451,16,09.08.2024
452,16,24.08.2024
453,16,26.08.2024
454,16,01.09.2024
455,16,19.09.2024
456,16,25.09.2024
457,16,21.10.2024
458,17,30.08.2023
459,17,31.08.2023
460,17,02.09.2023
461,17,03.09.2023
462,17,05.09.2023
463,17,06.09.2023
464,17,07.09.2023
465,17,08.09.2023
466,17,09.09.2023
467,17,10.09.2023
468,17,12.09.2023
469,17,15.09.2023
470,17,20.09.2023
471,17,30.09.2023
472,17,04.10.2023
473,17,07.10.2023
474,17,08.10.2023
475,17,16.10.2023
476,17,17.10.2023
477,17,20.10.2023
478,17,26.10.2023
479,17,02.11.2023
480,17,03.11.2023
481,17,06.11.2023
482,17,07.11.2023
483,17,10.11.2023
484,17,13.11.2023
485,17,19.11.2023
486,17,20.11.2023
487,17,22.11.2023
488,17,10.12.2023
489,17,15.12.2023
490,17,29.12.2023
491,17,05.01.2024
492,17,23.01.2024
493,17,24.01.2024
494,17,29.01.2024
495,17,08.04.2024
496,17,06.07.2024
497,18,23.03.2024
498,18,27.03.2024
499,18,28.03.2024
500,18,05.04.2024
501,18,06.04.2024
502,18,22.04.2024
503,18,01.06.2024
504,18,04.06.2024
505,18,29.06.2024
506,18,02.07.2024
507,18,10.07.2024
508,18,28.07.2024
509,18,14.09.2024
510,19,06.02.2024
511,19,07.02.2024
512,19,08.02.2024
513,19,09.02.2024
514,19,12.02.2024
515,19,13.02.2024
516,19,14.02.2024
517,19,17.02.2024
518,19,18.02.2024
519,19,20.02.2024
520,19,21.02.2024
521,19,22.02.2024
522,19,23.02.2024
523,19,25.02.2024
524,19,26.02.2024
525,19,27.02.2024
526,19,28.02.2024
527,19,06.03.2024
528,19,07.03.2024
529,19,09.03.2024
530,19,10.03.2024
531,19,11.03.2024
532,19,15.03.2024
533,19,16.03.2024
534,19,17.03.2024
535,19,19.03.2024
536,19,20.03.2024
537,19,28.03.2024
538,19,29.03.2024
539,19,01.04.2024
540,19,09.04.2024
541,19,10.04.2024
542,19,12.04.2024
543,19,26.04.2024
544,19,27.04.2024
545,19,07.05.2024
546,19,08.05.2024
547,19,10.05.2024
548,19,28.05.2024
549,19,02.06.2024
550,19,04.06.2024
551,19,02.07.2024
552,19,10.07.2024
553,19,11.07.2024
554,19,13.07.2024
555,19,28.07.2024
556,19,01.08.2024
557,19,31.08.2024
558,20,27.02.2024
559,20,28.02.2024
560,20,29.02.2024
561,20,01.03.2024
562,20,02.03.2024
563,20,04.03.2024
564,20,06.03.2024
565,20,07.03.2024
566,20,08.03.2024
567,20,09.03.2024
568,20,15.03.2024
569,20,16.03.2024
570,20,18.03.2024
571,20,24.03.2024
572,20,30.03.2024
573,20,10.04.2024
574,20,18.04.2024
575,20,21.04.2024
576,20,23.04.2024
577,20,25.04.2024
578,20,28.04.2024
579,20,04.05.2024
580,20,08.05.2024
581,20,09.05.2024
582,20,19.05.2024
583,20,20.05.2024
584,20,21.05.2024
585,20,22.05.2024
586,20,07.06.2024
587,20,15.06.2024
588,20,20.06.2024
589,20,23.06.2024
590,20,28.06.2024
591,20,30.06.2024
592,20,09.07.2024
593,20,20.08.2024
594,20,21.08.2024
595,20,14.09.2024
596,20,15.09.2024
597,20,18.10.2024
598,20,05.12.2024
599,21,05.02.2024
600,21,06.02.2024
601,21,07.02.2024
602,21,13.02.2024
603,21,18.02.2024
604,21,20.02.2024
605,21,24.02.2024
606,21,25.02.2024
607,21,03.03.2024
608,21,06.03.2024
609,21,07.03.2024
610,21,08.03.2024
611,21,12.03.2024
612,21,13.03.2024
613,21,20.03.2024
614,21,21.03.2024
615,21,22.03.2024
616,21,24.03.2024
617,21,27.03.2024
618,21,31.03.2024
619,21,04.04.2024
620,21,06.04.2024
621,21,08.04.2024
622,21,09.04.2024
623,21,10.04.2024
624,21,11.04.2024
625,21,14.04.2024
626,21,15.04.2024
627,21,25.04.2024
628,21,06.05.2024
629,21,31.05.2024
630,21,25.06.2024
631,21,11.07.2024
632,21,01.09.2024
633,22,27.07.2023
634,22,03.08.2023
635,22,08.08.2023
636,22,13.11.2023
637,22,14.12.2023
638,23,06.09.2023
639,23,07.09.2023
640,23,08.09.2023
641,23,09.09.2023
642,23,11.09.2023
643,23,12.09.2023
644,23,13.09.2023
645,23,14.09.2023
646,23,15.09.2023
647,23,16.09.2023
648,23,17.09.2023
649,23,18.09.2023
650,23,19.09.2023
651,23,23.09.2023
652,23,27.09.2023
653,23,28.09.2023
654,23,09.10.2023
655,23,11.10.2023
656,23,12.10.2023
657,23,15.10.2023
658,23,22.10.2023
659,23,01.11.2023
660,23,02.11.2023
661,23,03.11.2023
662,23,06.11.2023
663,23,16.11.2023
664,23,23.11.2023
665,23,29.11.2023
666,23,02.12.2023
667,23,03.12.2023
668,23,12.12.2023
669,23,15.12.2023
670,23,22.12.2023
671,23,28.12.2023
672,23,02.01.2024
673,23,04.01.2024
674,23,05.01.2024
675,23,13.01.2024
676,23,15.01.2024
677,23,19.01.2024
678,23,29.01.2024
679,23,30.01.2024
680,23,04.04.2024
681,23,07.04.2024
682,23,17.08.2024
683,24,27.03.2024
684,24,29.03.2024
685,24,30.03.2024
686,24,31.03.2024
687,24,04.04.2024
688,24,07.04.2024
689,24,19.04.2024
690,24,26.04.2024
691,24,29.04.2024
692,24,08.05.2024
693,24,09.05.2024
694,24,26.05.2024
695,24,24.06.2024
696,24,26.06.2024
697,24,08.07.2024
698,24,13.08.2024
699,24,12.10.2024
700,24,19.11.2024
701,24,28.11.2024
702,24,26.12.2024
703,25,31.07.2023
704,25,01.08.2023
705,25,02.08.2023
706,25,03.08.2023
707,25,04.08.2023
708,25,08.08.2023
709,25,09.08.2023
710,25,13.08.2023
711,25,18.08.2023
712,25,24.08.2023
713,25,01.09.2023
714,25,03.09.2023
715,25,05.09.2023
716,25,27.09.2023
717,25,07.10.2023
718,25,17.11.2023
719,26,22.03.2024
720,26,23.03.2024
721,26,24.03.2024
722,26,25.03.2024
723,26,26.03.2024
724,26,27.03.2024
725,26,28.03.2024
726,26,29.03.2024
727,26,30.03.2024
728,26,02.04.2024
729,26,03.04.2024
730,26,11.04.2024
731,26,13.04.2024
732,26,14.04.2024
733,26,17.04.2024
734,26,20.04.2024
735,26,21.04.2024
736,26,22.04.2024
737,26,23.04.2024
738,26,27.04.2024
739,26,29.04.2024
740,26,07.05.2024
741,26,12.05.2024
742,26,15.05.2024
743,26,23.05.2024
744,26,01.06.2024
745,26,13.06.2024
746,26,18.06.2024
747,26,21.06.2024
748,26,27.06.2024
749,26,29.06.2024
750,26,04.07.2024
751,26,07.07.2024
752,26,10.07.2024
753,26,15.07.2024
754,26,21.07.2024
755,26,25.07.2024
756,26,30.07.2024
757,26,17.08.2024
758,26,19.08.2024
759,26,09.11.2024
760,26,21.01.2025
761,27,22.04.2023
762,27,24.04.2023
763,27,26.04.2023
764,27,28.04.2023
765,27,29.04.2023
766,27,30.04.2023
767,27,01.05.2023
768,27,02.05.2023
769,27,04.05.2023
770,27,05.05.2023
771,27,06.05.2023
772,27,07.05.2023
773,27,08.05.2023
774,27,09.05.2023
775,27,12.05.2023
776,27,13.05.2023
777,27,14.05.2023
778,27,25.05.2023
779,27,31.05.2023
780,27,09.06.2023
781,27,15.06.2023
782,27,19.06.2023
783,27,29.06.2023
784,27,30.06.2023
785,27,01.07.2023
786,27,02.07.2023
787,27,04.07.2023
788,27,10.07.2023
789,27,15.07.2023
790,27,17.07.2023
791,27,27.07.2023
792,27,12.08.2023
793,27,21.08.2023
794,27,22.08.2023
795,27,31.08.2023
796,27,12.09.2023
797,27,15.09.2023
798,27,26.10.2023
799,27,23.11.2023
800,27,25.11.2023
801,27,10.03.2024
802,28,30.05.2024
803,28,01.06.2024
804,28,02.06.2024
805,28,03.06.2024
806,28,05.06.2024
807,28,08.06.2024
808,28,15.06.2024
809,28,23.06.2024
810,28,25.06.2024
811,28,29.06.2024
812,28,01.07.2024
813,28,03.07.2024
814,28,14.07.2024
815,28,29.07.2024
816,28,05.08.2024
817,28,07.08.2024
818,28,01.09.2024
819,28,07.10.2024
820,28,29.10.2024
821,28,05.11.2024
822,28,27.02.2025
823,28,05.03.2025
824,28,12.03.2025
825,29,11.01.2024
826,29,15.01.2024
827,29,16.01.2024
828,29,18.01.2024
829,29,21.01.2024
830,29,31.01.2024
831,29,09.02.2024
832,29,12.02.2024
833,29,11.03.2024
834,29,01.04.2024
835,29,22.04.2024
836,29,29.04.2024
837,29,01.05.2024
838,29,14.05.2024
839,29,01.06.2024
840,29,14.06.2024
841,29,16.07.2024
842,29,08.10.2024
843,30,27.03.2024
844,30,29.03.2024
845,30,30.03.2024
846,30,31.03.2024
847,30,03.04.2024
848,30,04.04.2024
849,30,06.04.2024
850,30,10.04.2024
851,30,12.04.2024
852,30,19.04.2024
853,30,03.05.2024
854,30,13.05.2024
855,30,14.05.2024
856,30,22.05.2024
857,30,31.05.2024
858,30,06.06.2024
859,30,07.06.2024
860,30,18.06.2024
861,30,07.07.2024
862,30,10.07.2024
863,30,25.07.2024
864,30,14.10.2024
865,30,26.10.2024
866,31,24.02.2023
867,31,25.02.2023
868,31,28.02.2023
869,31,01.03.2023
870,31,02.03.2023
871,31,04.03.2023
872,31,07.03.2023
873,31,08.03.2023
874,31,09.03.2023
875,31,17.03.2023
876,31,21.03.2023
877,31,04.04.2023
878,31,06.04.2023
879,31,10.04.2023
880,31,12.04.2023
881,31,13.04.2023
882,31,14.04.2023
883,31,17.04.2023
884,31,01.05.2023
885,31,13.05.2023
886,31,18.05.2023
887,31,19.05.2023
888,31,24.05.2023
889,31,27.05.2023
890,31,11.06.2023
891,31,12.07.2023
892,31,24.07.2023
893,31,17.08.2023
894,31,04.11.2023
895,31,23.12.2023
896,31,30.12.2023
897,32,04.06.2024
898,32,06.06.2024
899,32,07.06.2024
900,32,11.06.2024
901,32,12.06.2024
902,32,13.06.2024
903,32,14.06.2024
904,32,18.06.2024
905,32,24.06.2024
906,32,27.06.2024
907,32,15.07.2024
908,32,22.08.2024
909,32,31.08.2024
910,32,26.05.2025
911,33,27.04.2024
912,33,02.07.2024
913,33,29.11.2024
914,34,12.07.2023
915,34,13.07.2023
916,34,14.07.2023
917,34,17.07.2023
918,34,18.07.2023
919,34,19.07.2023
920,34,20.07.2023
921,34,21.07.2023
922,34,23.07.2023
923,34,25.07.2023
924,34,27.07.2023
925,34,28.07.2023
926,34,31.07.2023
927,34,02.08.2023
928,34,03.08.2023
929,34,10.08.2023
930,34,13.08.2023
931,34,14.08.2023
932,34,16.08.2023
933,34,19.08.2023
934,34,26.08.2023
935,34,27.08.2023
936,34,29.08.2023
937,34,30.08.2023
938,34,03.09.2023
939,34,05.09.2023
940,34,06.09.2023
941,34,24.09.2023
942,34,11.10.2023
943,34,14.10.2023
944,34,27.10.2023
945,34,31.10.2023
946,34,26.11.2023
947,34,27.11.2023
948,34,10.12.2023
949,34,13.12.2023
950,34,25.12.2023
951,34,27.12.2023
952,34,13.02.2024
953,34,15.04.2024
954,34,16.05.2024
955,35,27.05.2024
956,35,28.05.2024
957,35,29.05.2024
958,35,30.05.2024
959,35,31.05.2024
